NO.,发生日期,完成日期,设备编号,设备模组,故障类别,异常描述,原因分析,处理方法/临时对策,预防对策/根本改善,处理状态/进度,对应人,备注说明
27,2022-03-30,2022-03-30,AREL01,Computer,软件异常,通讯问题,两天可以复原,重启重连S/W  COMPUTER /EAP.无改善。准备忽略此alarm。,,已完成,,
28,2022-04-10,2022-04-10,AASH01,Other,真空异常,pump异常,检测 SLIT DOOR Oring damage,ORING 损坏。更换,自制Oring使用寿命短,已完成,,
29,2022-04-15,2022-04-15,AASH01,Power supply,部品不良,UI 不能启动,UPS 问题，bypass UPS,Asher bypass UPS 后重启时会有报错。可分步重启,,已完成,,
30,2022-04-20,2022-04-20,ASSW01,IPA Supply,传送异常,手臂异常,WET ROCKING  LIFTER 位置异常,"1.问题处理
2.S/W 位置无法固定。在运动中处理，风险较大。
3.寻找更优的方法处理此类问题","寻找更好的办法处理所有rock 问题",已完成,,
31,2022-05-03,2022-05-03,AICP01,PM1,水路异常,RF Gennerator Water flow low,PCW端电磁阀长时间运行产生水垢，导致Water flow LOW,分别对 RF generator流量计、电磁阀、pcw管路分解并清洁，机台恢复正常,建议厂务水质管控，监测调整,已完成,张林,
32,2022-05-07,2022-05-07,AACW01,GAS BOX,部品不良,排风异常,更改interlock ,排风 power supply 接线会有alarm保留，不影响生产运行,,已完成,,
33,2022-05-08,2022-05-08,AASH01,PM,气体异常,SLIT DOOR 异常,CDA  issue,RUN 后不能开门。检查后怀疑是CDA供应问题。现提高CDA 流量到50-60PSI.运行稳定。,更改CDA 供应范围,已完成,,
34,2022-05-11,2022-05-11,ASCR01,Other,电路异常,"Scrubber② plasma voltage low 94v(plasma voltage 252V , 低于160-230 SPEC",由于阴阳极部分为旧品重复利用，阴极点火端长期损耗，导致plasma voltage low,"优化阴极点火端并更换耗材，plasma voltage 为191v,恢复正常",列入日常点检项目及年保项目合并跟进,已完成,张林,
35,2022-05-13,2022-05-13,AICP01,L/UL,传送异常,ICP-A loadlock Could not map cassette,由于A-load lock 旋钮把手弹簧断裂，door不能完全关上,replace new 弹簧恢复正常,,已完成,张林,
36,2022-05-17,2022-05-17,AICP01,PM3,电路异常,Failed move electrode to top:Took too long ICP PM3 Electrode UP Abnoraml,Sensor信号丢失，程序出错,"1.提供Electrode sensor DC24V电源异常，重新梳理24V电路，重新插拔并拧紧                         2.Electrode Intlk 钥匙从 production mode 切换到 sfty intlk override,手动up/down ,然后恢复正常",,已完成,张林,
37,2022-05-20,2022-05-20,AREL01,Computer,部品不良,通讯问题,查网线异常,"更换网线和EAP 后正常",,已完成,,
38,2022-05-25,2022-05-25,AICP01,PM2,工艺参数异常,ICP-PM2 工艺实验掉片,EA220402003电容实验，M1(Mo)作为刻蚀停止层会被过刻蚀，生成物导致chamber环境污染,"开腔进行常规PM, 机台恢复正常",,已完成,张林,
39,2022-06-06,2022-06-06,APVD01,PM3,部品不良,磁铁offset无法home,"1.直接原因：磁铁offset移动的电源转换器故障。
2.根本原因：端午节期间，片区停电，机台有关机。断电开关机导致电源损坏","1.逐个排查AlSc模块的供电，发现XL-PSU电源转换器无输出电压；
2.采购一个同类型电源，同时损坏电源送出维修；
3.两个电源都测试OK，可以使用。",,已完成,,
40,2022-06-07,2022-06-07,ASSW01,Other,厂务端异常,去胶机台3个手臂异常,厂务停水停气后复机问题,"PM,加微调手臂",复机，后期会继续微调,已完成,,
41,2022-06-08,2022-06-08,ALIF01,PM,软件异常,跑货停止,interlock 触发,无alarm，无法continue。手动取走wafer。复原机台继续跑货,测试interlock,已完成,,
42,2022-06-08,2022-06-08,AICP01,PM3,真空异常,ICP-PM3 Throttle valve issue,ICP-PM3 Throttle valve 内漏，pressure abnormal,"1.将Throttle valve 分解清洁 ,更换O-ring及清洁housing内部反应物。2.Body seal o-ring卡槽涂真空油脂(增加密封性和起到润滑防止磨损）",,已完成,张林,
43,2022-06-10,2022-06-10,AICP01,PM3,操作不当,"ICP-PM3 transfer issue
ICP-PM3 abnormal 掉片",由于值班人员处理tool alarm 失误，transfer过程中lift-pin断裂，导致掉片,"开腔更换3ea 新lift-pin,传送测试确认OK",,已完成,张林,
44,2022-06-18,2022-06-18,AACW01,Other,调试不良,复机,货量增大，机台需要启用,排风调整后，机台启动正常,,已完成,,
45,2022-06-21,2022-06-21,ATRM01,PM,部品不良,作业薄片wafer时，wafer边缘有印记，且边缘容易有缺口,保养不足：clamping ring使用时间过长，导致ring边缘可能有附着的颗粒,"1.更换新的clamping ring。
2.测试薄片wafer边缘没有印记，也没有发现缺口",clamping ring没有定期更换,已完成,,
46,2022-06-22,2022-06-22,ASSW01,Other,传送异常,手臂异常,有震动导致上升sensor侦测异常,气体流量重新调整.取中间值。,,已完成,,
47,2022-06-27,2022-06-27,ATRM01,PM,传送异常,wafer在stage从被夹住到pin顶起的过程中，wafer与O-ring有局部粘黏，导致wafer有被轻微弹起的现象,保养不足：O-ring使用时间过长，O-ring有老化,"1.用无尘布蘸无水乙醇清洁O-ring，NG；
2.细砂纸轻微打磨O-ring表面，NG。
3.采用离子束轰击O-ring，目前测试未发生wafer有被弹起",O-ring使用时间过程，存在老化,已完成,,
48,2022-07-12,2022-07-13,APVD01,HSE,其它,HSE P-T-P alarm,HSE chamber内部环境不稳定,HSE开腔进行PM处理,PM后点检确认，double check,已完成,聂敦伟,
49,2022-07-12,2022-07-12,AICP01,GAS BOX,部品不良,safety lock alarm,interlock switch 损坏,更换故障品switch,/,已完成,张林,
50,2022-07-14,2022-07-15,APVD01,TM,传送异常,wafer在coolstation 破片,暂未明,TM开腔取出破片同时进行PM处理,,已完成,陈杨,
51,2022-07-14,2022-07-15,ATRM01,PM,Wafer 异常,trim完后，W8/W18 破片,薄片-跑货造成,PC开腔取出破片同时进行PM处理,,已完成,沈启航,薄片（贴高温胶带）
52,2022-07-14,2022-07-14,AACW01,IPA Supply,其它,IPA补液异常,液泵抽入空气造成堵塞,手动拔出液管排气,,已完成,郝梁博,
53,2022-07-18,2022-07-18,ACVD01,PM3,软件异常,制程中I/O频繁报警,软件/程序bug,重启软件及PC后测试OK,偶发故障，异常时重启软件对应,已完成,张林,
54,2022-07-18,2022-07-18,ASCR01,Other,部品不良,水路电磁阀故障导致水流量过低，温升快,水路电磁阀本体故障,拆解电磁阀内部橡胶阀盖老化破裂，采购新品种,损耗件，备件采购备货，故障更换处理,已完成,张林,部品采购中
55,2022-07-19,2022-07-21,OTHER,Other,电路异常,超声波清洗槽电路异常无法通电工作,AC connect损坏导致接触不良,临时bypass短接处理，根本解决需更换connect,损耗件，故障品更换处理,已完成,毛锐,待采购新配件替换
56,2022-06-19,2022-07-19,APAC01,Other,传送异常,Robot arm操作异常撞坏,cassette放置操作异常导致,采购国产arm更换并测试ok,"更换国产新arm后测试正常；
加强作业操作规范培训",已完成,张林,
57,2022-07-20,,AACW01,L/UL,传送异常,load传送在2# load位置卡住无法移动,2# load port检测sensor异常,"临时bypass此处sensor不用2# port；
最终更换购买新sensor后OK",请购备用sensor,已完成,夏玉柱,待采购新配件修复
58,2022-07-20,2022-07-20,ATRM01,PM,传送异常,wafer传送过程中滑片，在chuck上,chuck高度过小传送过程中可能有剐蹭,chuck追加垫片增加高度间隙测试暂OK,待验证观察后检讨,已完成,张林,
59,2022-07-25,2022-07-25,AWFM01,Other,传送异常,Robot复位及shutter打开异常报警,可能设备warm up时间不充分造成,重启设备及软件待warm up后测试正常,偶发故障，异常时重启软件对应,已完成,陈杨,
60,2022-07-25,2022-07-25,APVD01,HSE,工艺参数异常,Wafer在HSE做plasma cleaning step5 PPV启动异常,wafer表面漏出Si影响到等离子体辉光放电,将step3/5 Ar backfill增加到280sccm可正常启动,待持续观察,已完成,沈启航,
61,2022-07-27,2022-07-27,ATRM01,PM,部品不良,recipe stopped by an error from IBS,Plasma cup使用寿命到（271h）,更换新Plasma cup测试验证OK,监测Plasma cup lifetime适时更换,已完成,张林,维修plasma cup上机测试有异常，待进一步优化
62,2022-07-27,2022-07-28,ATHK01,Other,传送异常,椭偏仪传片NG，手动及重启软件无效,Robot arm 有particle，wafer吸附不良,清洁robot arm后传送及测试正常,仪器的定期点检确认机制落实执行,已完成,聂敦伟,
63,2022-07-28,2022-07-28,AICP01,PM2,传送异常,PM2-B/H 偏高6-7sccm(range 6sccm以下)导致wafer在传送过程中滑片,open chamber found stage上有particle导致,PM2开腔进行PM处理,PM周期按节点严格实施执行,已完成,张林,
64,2022-07-28,2022-07-28,AEGN01,Other,软件异常,设备报警弹窗：12days restart PC,设备原厂设置定期重启软件和PC，清内存防卡死down机,重启PC及GEM软件,建议可1周定期做一次PC及软件重启,已完成,毛锐,
65,2022-07-29,2022-07-29,ASCR01,Other,部品不良,水路电磁阀故障导致水流量过低，wet tank水温过高机台停机,电磁阀内部结构损坏导致water flow low,拆解电磁阀内部橡胶阀盖老化破裂，采购新品种,损耗件，备件采购备货，故障更换处理,已完成,张林,
66,2022-07-29,2022-07-29,AICP01,PM1,传送异常,wafer传送过程中滑片，在chuck上,MO chamber相对比较脏，chamber内部环境变差，腔体长时间IDLE，有掉片风险,PM1开腔进行PM处理,PM周期按节点严格实施执行,已完成,张林,
67,2022-07-30,2022-07-30,ATRM01,PM,传送异常,wafer传送过程中掉片，在PC-TC valve上,"chuck高度过小传送过程中可能有剐蹭
（wafer表面有疑似划痕）","开腔PM并chuck追加垫片增加高度间隙
原0.66mm+1.08mm",,已完成,毛锐,
68,2022-08-01,2022-08-02,ALIF01,PM,部品不良,跑货时化学品流量异常,管路堵塞，更换filter。重新匹配机台流量,清理管路，更换filter,准备filter 备件,已完成,夏玉柱,
69,2022-08-02,2022-08-03,AICP01,PM1,传送异常,PM1 Wafer掉片,MO chamber相对比较脏，chamber内部环境变差，腔体长时间IDLE，有掉片风险,PM1开腔进行PM处理,PM1定期做PM处理,已完成,夏小冰,
70,2022-08-03,2022-08-03,ASCR01,Other,操作不当,园区停电设备断电后Plasma配件高温变形导致漏水,园区停电设备断电后Plasma配件高温无法进行降温,更换配件测试后OK,突发不可控因素，异常时按正常处理方法处理,已完成,张林,
71,2022-08-04,2022-08-03,ASSW01,Other,传送异常,厂务停电，造成手臂复机异常,气体流量变化，突然停电影响,清理传送，重新调节气体流量,突发不可控因素，异常时按正常处理方法处理,已完成,夏玉柱,
72,2022-08-04,2022-08-05,ACVD01,PM3,传送异常,wafer传送过程中滑片，abort后被夹碎,"1.新加热盘stage太光滑，wafer易吸附
2.Stage UP/DOWN有振动","1.Stage表面刻划沟槽排气有明显改善；
2.UP/DOWN时stage有明显振动待分析处理","1.定期对stage表面的刻划沟槽进行清理，确保wafer背侧无残留气压而被吸附；
2.上下传送顺畅稳定待确认改善。",已完成,"张林
陈扬
毛锐",
73,2022-08-04,2022-08-04,OTHER,Other,部品不良,SEM G2 dry pump 漏水,1.FAC紧急停（水/电/气）导致pcw水管热涨冷缩导致2.水管接头不适配；进出水管安装错误,更换适配水接头，2组泵所有水管及接头重新安装连接后无漏水渗水现象,列入日常水路点检项目并推进,已完成,毛锐,
74,2022-08-04,2022-08-04,ACVD01,TM,部品不良,Dry pump抽速差，运转噪音大,Dry pump年度保养时限到期,更换备用pump，故障pump送厂商保养维修,列入日常点检项目及年保项目合并跟进,已完成,张林,故障泵为厂商提供的临时备用
75,2022-08-06,2022-08-06,ATRM01,Other,水路异常,IBS水流量过低报警无法工作,PCW filter 堵塞导致流量过低,开关water IN进行阀门冲洗临时恢复,厂务端加强PCW水质监管；设备端filter纳入季度保养点检确认项,已完成,沈启航,
76,2022-08-07,2022-08-07,ATRM01,Other,水路异常,机台水流量过低报警无法工作,PCW filter 堵塞导致流量过低,拆卸filter进行清洗恢复流量,厂务端加强PCW水质监管；设备端filter纳入季度保养点检确认项,已完成,陈杨,
77,2022-08-07,2022-08-07,ATRM01,PM,Wafer 异常,"EA220505003 薄片trim,W5破片",wafer在做trim前有破损,PC开腔取出破片同时进行PM处理,Trim run货前的wafer点检确认,已完成,陈杨,RUN前检查wafer有缺口，已记录
78,2022-08-08,2022-08-10,ACVD01,L/UL,部品不良,BL扫码枪不工作,扫码枪控制器泡水损坏,更换RF ID控制器，软件后台IP更换调试,控制器变更安装位置，防水防潮,已完成,毛锐,G2 dry pump 漏水导致控制器泡水
79,2022-08-09,2022-08-09,ACVD01,PM3,传送异常,wafer传送滑片，开腔发现加热盘划线处已被沉积物覆盖,"1.新加热盘stage太光滑，wafer易吸附
2.Stage UP/DOWN有振动",Stage表面加深刻划沟槽便于排气改善,"1.定期对stage表面的刻划沟槽进行清理，确保wafer背侧无残留气压而被吸附；
2.上下传送顺畅稳定待确认改善。",已完成,"聂敦伟
毛  锐",
80,2022-08-09,2022-08-10,ACVD01,PM3,传送异常,U%不过,开腔排查到右侧Pin有异常，拆卸下来对比，发现短了0.5mm,更换pin后机台传送正常，monitor 1片，U% 0.7,/,已完成,"陈杨
张林",
81,2022-08-10,2022-08-10,APVD01,L/UL,传送异常,"wafer在VCE-B滑出传送失败；
复机override wafer夹破在slit valve","cassette放置异常导致wafer位置不对；
报警处理流程不正确。",手动将VEC-B、TM破真空，取出破碎wafer并清洁处理后复位报警,"cassette投放时注意轻拿轻放；
Trouble shooting 更新确认。",已完成,"聂敦伟
毛  锐",
82,2022-08-24,2022-08-25,ATRM01,PM,厂务端异常,"PM Turbo pump水流量无
电磁阀无开启信号",让电设备长期停机，FAB环境恶劣可能，分子泵控制电路板受潮导致控制异常,通电待机放置一晚，等待潮湿气挥发后次日确认恢复正常,,已完成,"敦伟
陈扬
毛锐",8/19~8/24设备关机后FAB内停电后故障
83,2022-08-24,2022-08-25,ACVD01,PM,真空异常,PM真空抽了＞12H 仍在43mTorr下不去,真空计零点漂移,确认PM腔室漏率OK且抽真空＞2H↑，真空计进行零点校准即可,,已完成,"张林
毛锐",8/19~8/24设备关机后FAB内停电后故障
84,2022-08-25,2022-08-25,ACVD01,PM,电路异常,process中通讯中断异常,通讯模块通讯连接线内部接触不良,通讯连接线晃动改变角度并用扎带捆绑解决,更换通讯线,已完成,"张林
毛锐",8/19~8/24设备关机后FAB内停电后故障
85,2022-08-26,2022-08-26,AICP01,PM1,传送异常,wafer传送过程中掉片（dummy、产品*2）,PM腔室内脏污引起,PM1开腔进行PM处理,PM1定期做PM处理,已完成,"张林
毛锐",
86,2022-08-26,2022-08-26,APVD01,PM3,部品不良,AlSc module 冷泵升温报警（一级冷头到20K，正常在10K左右）,8/25做了冷泵保养更换耗材，可能原因待验证确认,报警复位后进行再生处理，温度降到15K，待跟进,待持续观察,已完成,"聂敦伟
毛  锐",
87,2022-08-27,2022-08-28,ATRM01,Computer,部品不良,IBS在beam alignment时卡住无动作后报警（neutralizer不自动点火）,"软件/程序bug
PC fan故障导致散热异常，电脑死机",手动点IBS点火动作正常，整机关机重启后PC2电脑主机开不了机，临时更换拖线板电源可以开机恢复正常，后续再排查分析。,自行采购并更换风扇,已完成,"敦伟
陈扬
毛锐",
88,2022-08-27,2022-08-29,ATRM01,Computer,部品不良,设备断电重启后PC2无法开机,UPS 问题，输出端口分压异常,更换UPS其它备用输出端口,共8组输出port，设备只用到3组，预留5组可用,已完成,毛锐,
89,2022-08-28,2022-08-29,AEGN01,PM,操作不当,EA220802003 1st layer（Ti50nm）镀0.24nm时发生alarm，生产OP误点跳下一层镀AL镀了4.2nm后紧急暂停,"操作失误：
发生alarm后OP误操作点击跳到下一步","取出wafer测量PAD 区镀AL AFM粗糙度然后进行lift off 尝试清洗已镀的4.2nm AL
Trim 10nm去除已镀的铝",生产加强OP培训宣导,已完成,"毛锐
启航",
90,2022-08-29,2022-08-29,AEGN01,PM,操作不当,电子枪2 emission电流  装置异常EVAPORATION EXECUTE:_EVAPEXE,电子枪灯丝安装接触不良，螺丝松动,对灯丝座单元整体PM处理并更换新灯丝,PM手法规范化，SOP修正明确,已完成,"陈扬
毛锐",
91,2022-08-27,2022-08-28,AREL01,PM,传送异常,Release设备开始作业时手臂取片报错,Release静电吸附Demo试样，导致Wafer在做完后在TM腔破片,开腔PM处理,,已完成,张林,
92,2022-08-29,2022-08-29,AEGN01,PM,操作不当,EA220705006 第一层镀10.8nm后报警，超过最大层镀膜时间300s，报警复位继续当前层还是alarm,Ti材料少使用过低，需加料处理,开腔检查Ti坩埚材料见底，重新加料预熔后补镀,Ti坩埚的加料检查机制完善，生产OP目前只负责AL坩埚材料的添加检查,已完成,毛锐,
93,2022-08-30,2022-08-30,OTHER,Computer,软件异常,XRD通讯控制连接不上，软件无法通讯控制,CPU主板接触不良导致通讯丢失,CPU主板线路插拔点检，内存条插拔后重启电脑和软件后通讯正常,,已完成,毛锐,
94,2022-08-30,2022-08-30,AICP01,TM,传送异常,Aligner alarm:ERROR 4报警,aligner侦测异常，发射接收信号不良,TM开腔对aligner玻璃视窗进行PM清洁处理，控制器单元线路整理后测试正常,TM module 维护内容增加aligner部分并确认,已完成,张林,
95,2022-09-02,2022-09-02,APVD01,TM,传送异常,Daily-Mo（复机）burning测试后wafer传送到cool satation结束后取片时wafer破片在里面（peeling并破裂）,使用的dummy wafer次数较多，膜厚过多加上温度骤降导致应力释放造成wafer破片,开腔PM清理破片后复机测试正常,对使用的dummy wafer进行管控,已完成,毛锐,Mo腔复机测试过程异常
96,2022-09-07,2022-09-08,APVD01,PM3,部品不良,AlSc module 冷泵升温报警（一级冷头到21K，正常在10K左右）,8/25做了冷泵保养更换耗材，可能原因为保养不彻底,"1.冷泵重生后温度降至17~19K，仍偏高；
2.重新保养后恢复正常",,已完成,"聂敦伟
陈杨",
97,2022-09-11,2022-09-11,ALIF01,Other,调试不良,S/D1 Tow fluid DIW tank level sensor error,Sensor侦测处水管进入空气,手动排气后排掉多余的水,,已完成,夏小冰,
98,2022-09-12,2022-09-12,AICP01,PM3,调试不良,"PM3 Pressure is out of compliance.
Setpoint=1.0 or below, Actual=1.1mT",Base pressure 超出范围,真空计手动Zero,定期对真空计进行零点校正确认,已完成,夏小冰,
99,2022-09-12,2022-09-12,AEGN01,PM,腔体环境异常,制程中装置异常，hearth旋转有剐蹭现象,E-GUN阳极块沉积过多金属膜料造成剐蹭,清理阳极块及hearth unit PM处理,Hearth Unit PM周期定义1周并执行,已完成,毛锐,
100,2022-09-15,2022-09-15,AEGN01,PM,腔体环境异常,Hearth旋转机构卡死,螺丝松动导致,Hearth unit PM处理,Hearth Unit PM周期定义1周并执行,已完成,陈杨,
101,2022-09-16,2022-09-16,ALIF01,Other,腔体环境异常,Tank lift count up alarm,"计数器达到上限未清零
IPA溶液液位偏低需更换","计数器达到上限清零处理；
IPA溶液液位偏低更换处理OK",设备的定期点检确认机制落实执行,已完成,张林,
102,2022-09-17,2022-09-17,AASH01,PM1,真空异常,PM1 slit valve 打开时报压力过高,压力调节不合适,手动Pump down PM1后手动Vent,压力调节，过大会有异响，如再有会调大压力,已完成,夏小冰,
103,2022-09-17,2022-09-17,ASSW01,Other,操作不当,Tank#7 dry tank 发生异常,OP Run货过程中未检查cassette内Wafer有无异常；cassette slot 1放入2片Wafer导致装置卡死,手动打开cover取出wafer并处理破片后，取出cassette,生产加强OP培训宣导,已完成,夏小冰,
104,2022-09-17,2022-09-17,ACVD01,L/UL,真空异常,粗抽压力异常报警,AL door密封不好,报警复位继续后续作业，抽气时怼一下AL door,排查并调整AL door密封不好问题,已完成,毛锐,
105,2022-09-17,2022-09-17,APVD01,PM2,其它,W2、W14制程中【Rotating platen not at speed during process】warning,待澄清分析确认，怀疑stage及platen局部有剐蹭到的可能,暂忽略此warning继续processing,待持续观察确认,已完成,毛锐,
106,2022-09-19,2022-09-20,ATRM01,Computer,软件异常,无法进入共享服务器,PC软件bug导致掉线,重启软件及PC后测试OK,,已完成,"聂敦伟
陈杨",
107,2022-09-21,2022-09-21,AICP01,Other,水路异常,PCW水管连接漏水,PCW二次配水管有漏点渗水,拆除PCW 管路重新焊接加工修复,焊接点较多，建议更换三通阀连接形式,已完成,"张林
陈扬
",
108,2022-09-21,2022-09-21,ASSW01,Other,调试不良,水槽lifter原点异常,运动正常，但会错过原点位置,清理后测试正常,PM 会减轻发生几率,已完成,夏玉柱,
109,2022-09-22,2022-09-22,AICP01,PM3,软件异常,通讯异常，module无法作业,module内电控柜内一路空开跳闸,临时恢复空开闭合，设备整机shutdown后OK,,已完成,"张林
毛锐",
110,2022-09-24,2022-09-24,ACVD01,L/UL,真空异常,粗抽压力异常报警,AL door密封不好,报警复位继续后续作业，抽气时怼一下AL door,排查并调整AL door密封不好问题,已完成,夏玉柱,
111,2022-09-24,2022-09-24,AASH01,PM,腔体环境异常,wafer掉片在stage上,Gate valve及chamber较脏污,开腔PM清洁处理,定期PM清洁处理,已完成,夏玉柱,
112,2022-09-25,2022-09-25,AICP01,PM1,传送异常,wafer掉片在stage上,反应物引起stage沉积，导致滑片,开腔PM处理,PM1定期做PM处理,已完成,王玉亮,
113,2022-09-25,2022-09-25,AREL01,Other,气体异常,厂务端气体流量异常,厂务端气体流量异常,联络厂务处理,,已完成,夏玉柱,
114,2022-09-26,2022-09-26,ASSW01,Other,水路异常,漏水报警,水位sensor不良导致水位已满仍感应不到,临时拆卸idle tank的sensor代用,购买备用sensor,已完成,夏玉柱,
